1,3,血压计,血压计用于测量宠物的血压。,通常是通过给宠物戴上袖带，并使用手动或自动泵增压，再用听诊器听取动脉搏动声，计算出血压值。在使用之前需要先消毒，使用时应当按照说明书的要求进行操作，同时注意安全和卫生。
2,3,体温计,体温计用于测量宠物的体温。,通常是通过肛门插入式测量，也可以是口腔或腋下测量。在使用之前需要先消毒，使用时应当按照说明书的要求进行操作，同时注意安全和卫生。
3,4,注射器,注射器用于给宠物注射疫苗。,通常使用的是一次性注射器和针头。在接种疫苗过程中，医护人员需要严格按照疫苗的使用说明进行操作，并注意接种前后的消毒和卫生。对于常见的疫苗接种并发症，如局部肿胀、发热等，医护人员需要及时处理和观察，并告知宠物主人注意事项。
4,4,疫苗冰箱,疫苗冰箱用于存储疫苗，保持其在适宜的温度范围内。,在使用之前需要进行校准，避免疫苗受损或失效。
5,5,血常规分析仪,血常规分析仪用于分析血液中的各种细胞数量和形态。,暂无
6,5,尿液分析仪,尿液分析仪用于分析尿液中的各种成分，如蛋白质、葡萄糖、红细胞等。,暂无
7,6,X光机,X光机由发射器、滤波器、对准器、摄影胶片和定影药等部分组成。其中发射器是最重要的部分，它能够发射高能量的X光，穿透宠物的身体并形成影像。滤波器能够过滤掉X光中的低能量部分，提高影像质量。对准器可以帮助宠物医生将X光机的位置和方向对准需要检查的部位。,在进行X光检查前，需要先让宠物主人将宠物的项圈、链条、饰品等取下，并对宠物进行镇静剂或者麻醉剂的处理，以免宠物在拍摄时过于不安，影响拍摄效果。然后，将需要检查的部位放在X光机的胶片上，对准X光机的位置和方向，进行拍摄。拍摄完成后，需要将摄影胶片放入定影药中进行定影。
8,6,B超设备,超设备由主机、探头、显示屏等部分组成。探头是最重要的部分，它能够发射超声波，并接收被检查部位反射回来的超声波信号，形成影像。不同的探头可以用于检查不同部位的器官和组织。,在进行B超检查前，同样需要对宠物进行准备，包括取下项圈、链条、饰品等，并对宠物进行镇静剂或者麻醉剂的处理。然后，将探头放置在需要
9,7,眼压计,用于检测宠物眼压，主要用于诊断青光眼。,暂无
10,7,心电图机,用于检测宠物心脏电活动，包括心率、心律和心电图波形等。,暂无
11,8,指甲钳,用于修剪宠物的指甲。,暂无
12,8,灌肠器,用于给宠物灌肠。,暂无
13,10,输液泵,用于对宠物进行精确的输液控制。,暂无
14,10,加热垫,用于加热输液液体，保持其在体温范围内。,暂无
15,10,输液器,用于进行静脉注射。,暂无
16,11,麻醉机,麻醉机用于给宠物注入吸入麻醉剂，以维持麻醉状态。,暂无
17,11,紫外线消毒器,用于对手术器械和手术室进行消毒。,暂无
